timestamp,ip,port,hostname,tag,handshake,asn,geo,region,city,cipher_suite,cert_length,subject_common_name,issuer_common_name,cert_issue_date,cert_expiration_date,sha1_fingerprint,cert_serial_number,signature_algorithm,key_algorithm,subject_organization_name,subject_organization_unit_name,subject_country,subject_state_or_province_name,subject_locality_name,subject_street_address,subject_postal_code,subject_surname,subject_given_name,subject_email_address,subject_business_category,subject_serial_number,issuer_organization_name,issuer_organization_unit_name,issuer_country,issuer_state_or_province_name,issuer_locality_name,issuer_street_address,issuer_postal_code,issuer_surname,issuer_given_name,issuer_email_address,issuer_business_category,issuer_serial_number,naics,sic,freak_vulnerable,freak_cipher_suite,sector,sha256_fingerprint,sha512_fingerprint,md5_fingerprint,http_response_type,http_code,http_reason,content_type,http_connection,www_authenticate,set_cookie,server_type,content_length,transfer_encoding,http_date,cert_valid,self_signed,cert_expired,browser_trusted,validation_level,browser_error,tlsv13_support,tlsv13_cipher,raw_cert,raw_cert_chain
8/1/2020 0:12,113.22.43.96,443,,ssl-freak,TLSv1.0,18403,VN,HA NOI,HANOI,TLS_RSA_WITH_RC4_128_SHA,1024,,,5/9/2012 7:55,5/4/2032 7:55,6BE9068844B12C2BDF0AF2D4D6244449E3991E6A,FE676B96C70714F9,md5WithRSAEncryption,rsaEncryption,CIG,,CN,Shanghai,Shanghai,,,,,,,,CIG,,CN,Shanghai,Shanghai,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,EF512D0AB19E9B91A5C519C634A4F2FCBBF65C45EF87E01AABD25939FE903594,9FB295B36EAC31D1115CBC34808EE8B3A966FCE307E10DD44CF06A3F24D3266848243637EE7782DC85928B9AB4448B17EC9472E36DA32652324B2300986D8511,608C5D9E3DC8D785257F7FDF627F72E8,HTTP/1.1,200,OK,,,,,,,,,Y,Y,N,N,unknown,x509: unknown error,N,,,
8/1/2020 0:12,123.19.14.14,443,,ssl-freak,TLSv1.2,45899,VN,DA NANG,DA NANG,TLS_ECDHE_RSA_WITH_RC4_128_SHA,1024,www.vivotek.com,www.vivotek.com,1/1/2070 0:00,12/19/2022 0:00,687DD4AEDFAE6CDB2BECE5A6A4497B94DC654E30,9522DF423167FAD3,sha256WithRSAEncryption,rsaEncryption,Vivotek.Inc,Vivotek.Inc,TW,Asia,Asia,,,,,,,,Vivotek.Inc,Vivotek.Inc,TW,Asia,Asia,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,36849187EBD607EDFC3B9522BB3D9D03FBC4EBBA484AEE0B2813FBFA859DAE66,06FA2F7F14CC211A8E742BBE78FFB1DB5A34793922EDED14AC76CD475541FC3612DE48A789581FFAD48BC505220DB77CAACB07690F8461A8829FF060E4FC9FB7,1607B5B9A428FB92F5952BD833F36EDE,HTTP/1.1,200,OK,text/html,keep-alive,,,VVTK-HTTP-Server,1463,,"Sun, 04 Jan 1970 22:03:02 GMT",N,Y,N,N,unknown,x509: unknown error,N,,,
8/1/2020 0:12,171.231.20.7,443,dynamic-ip-adsl.viettel.vn,ssl-freak,TLSv1.2,7552,VN,HA NOI,HANOI,TLS_RSA_WITH_RC4_128_SHA,1024,,,11/23/2012 12:36,8/20/2015 12:36,F2CFAD74396FF3A764B8974FFE350A0A41F823DF,D2BD2D085C47CA23,md5WithRSAEncryption,rsaEncryption,Internet Widgits Pty Ltd,,AU,Some-State,,,,,,,,,Internet Widgits Pty Ltd,,AU,Some-State,,,,,,,,,517312,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,620DE68EFB735AFD53945C749F60485387DB77C95A49FED43CEFC779DFF271A9,4814CF915C42BCC27D6D7D2D292E3F66E5E69830B2DC86DAB58B2C414120D5BFC2C160F7F38091A99852857CE3DAC074EAF86E05046BADB6000D8B6EA75EF14D,EE2C9DE354BB86C75F45FEC0838C4440,HTTP/1.0,302,Redirect,,,,,,,,,Y,Y,Y,N,unknown,x509: unknown error,N,,,
8/1/2020 0:12,42.112.100.251,443,,ssl-freak,TLSv1.0,18403,VN,CAN THO,CAN THO,TLS_RSA_WITH_RC4_128_SHA,1024,,,5/9/2012 7:55,5/4/2032 7:55,6BE9068844B12C2BDF0AF2D4D6244449E3991E6A,FE676B96C70714F9,md5WithRSAEncryption,rsaEncryption,CIG,,CN,Shanghai,Shanghai,,,,,,,,CIG,,CN,Shanghai,Shanghai,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,EF512D0AB19E9B91A5C519C634A4F2FCBBF65C45EF87E01AABD25939FE903594,9FB295B36EAC31D1115CBC34808EE8B3A966FCE307E10DD44CF06A3F24D3266848243637EE7782DC85928B9AB4448B17EC9472E36DA32652324B2300986D8511,608C5D9E3DC8D785257F7FDF627F72E8,HTTP/1.1,200,OK,,,,,,,,,Y,Y,N,N,unknown,x509: unknown error,N,,,
8/1/2020 0:13,112.213.93.14,443,mail9314.dotvndns.vn,ssl-freak,TLSv1.0,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,TLS_RSA_WITH_AES_128_CBC_SHA,2048,*.maychuemail.com,Sectigo RSA Domain Validation Secure Server CA,2/17/2020 0:00,5/17/2022 23:59,0A09D28A48772027658D97262E41165278849C5F,9EA96D3C4453760C3FE4C16C4A98B25C,sha256WithRSAEncryption,rsaEncryption,,,,,,,,,,,,,Sectigo Limited,,GB,Greater Manchester,Salford,,,,,,,,0,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,F58A5708F1BDD48C7109FDF52F107741012DBB1DD0C6026AC0B214F628F74DDE,767DC7DEC7F8DDA8FD484F493EC1EAECBF65DC75FB5C1C06C54D8CECA314732CF2CB59D0365022FFEC8509FF6A1B163A9C35585E736CE2FB73474EAE73CBFFCC,49347519240E897A02E446C3A8CECDC6,HTTP/1.1,200,OK,text/html; charset=utf-8,close,,,,,,,Y,N,N,Y,DV,,N,,,
8/1/2020 0:13,222.255.103.146,443,mail103146.maychuemail.com,ssl-freak,TLSv1.0,7643,VN,HA NOI,HANOI,TLS_RSA_WITH_AES_128_CBC_SHA,1536,mail.creativelights.vn,mail.creativelights.vn,6/29/2019 8:15,6/30/2023 8:15,23C7E717352DA65B03F6985F0E926520D948DA11,1FFA2504636BB480,sha1WithRSAEncryption,rsaEncryption,PA Vietnam,,US,,,,,,,,,,PA Vietnam,,US,,,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,FC6CB73BC34127BB8F8FAE7022CDE3BB45DB8076EF4BB1817A7D43357AFDBD5D,5CF3912902773F6561C0229005A3CA83142BA4C7E5799BA1D87CE567D46EB5BADBC5A7B13BC156A2C1C093255E958C8E32324585A348DA619C7AED11F242E5A3,314299644A218338C0C054F927DD7958,HTTP/1.1,200,OK,text/html; charset=utf-8,close,,,,,,,N,Y,N,N,unknown,x509: unknown error,N,,,
8/1/2020 0:13,115.84.182.218,443,,ssl-freak,TLSv1.0,38731,VN,HA NOI,HANOI,TLS_RSA_WITH_RC4_128_SHA,2048,www.vienthongdidong.vn,RapidSSL RSA CA 2018,2/17/2020 0:00,2/16/2022 12:00,43B7995359749E010847CB13E580BFEA4394D27F,0DF76C7561E0FC905761F1CA23975619,sha256WithRSAEncryption,rsaEncryption,,,,,,,,,,,,,DigiCert Inc,www.digicert.com,US,,,,,,,,,,0,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,57715F6F22691E197E5B30B4AE40FD5DD74D98CDC9A013A703BD789B846F2054,84DBF8FB5799B813396AB86BEC80B3C71616E9DAC41DF69D1815A557E277F508F85C31923F18788428EBDA7D44F02418C4F983F60A9949F28A3EB5500D314C4A,E9C5B175449B51CF25D05D86EA5DC355,HTTP/1.1,200,OK,text/html;charset=UTF-8,,,JSESSIONID=06464952423180BD1BF7E11EC23F49DD; Path=/; Secure; Http,Apache-Coyote/1.1,,chunked,"Sat, 01 Aug 2020 00:13:36 GMT",Y,N,N,Y,DV,,N,,,
8/1/2020 0:13,123.31.12.44,443,static.vnpt.vn,ssl-freak,TLSv1.0,135905,VN,HA NOI,HANOI,TLS_RSA_WITH_RC4_128_SHA,2048,www.vietbeautyacademy.edu.vn,AlphaSSL CA - SHA256 - G2,8/13/2018 4:19,8/14/2019 4:19,3B1BB4E3BA92A9F32C8C4202E5F27C6CF0CE343A,44928FD5BBE8A8EAA8B03927,sha256WithRSAEncryption,rsaEncryption,,Domain Control Validated,VN,,,,,,,,,,GlobalSign nv-sa,,BE,,,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,66EFB5F90D37E9E378FE49D1A44C3E36E25ED2407405F42E528967F511C82AB7,AA26CB70734C0CAE106B31DC7543DC58331B99E6CEC5BD7CA905B3E44FC15BE171ADBF9EC7983A4D452966B4ACCB2A1CC8FB7678D621EA855CBAFE77F163FEE2,DD543CA43322AD162ED93251CEDAA799,HTTP/1.1,403,Forbidden,text/html; charset=UTF-8,close,,,Apache/2.2.26 (CentOS),5043,,"Fri, 31 Jul 2020 00:14:02 GMT",N,N,Y,N,DV,x509: certificate signed by unknown authority,N,,,
8/1/2020 0:13,203.162.2.154,443,static.vnpt.vn,ssl-freak,TLSv1.0,7643,VN,HA NOI,HANOI,TLS_RSA_WITH_RC4_128_SHA,2048,HTTPS-Self-Signed-Certificate-44978197c4d500d6,HTTPS-Self-Signed-Certificate-44978197c4d500d6,7/21/2011 20:17,7/16/2031 20:17,A2E41E3AFF7F6065E3CB8B61E27AF3CBF642220D,0,sha256WithRSAEncryption,rsaEncryption,,,,,,,,,,,,,,,,,,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,0A9C3C9E10A84B9C4B31FF9B1C1971333A3E42344FA4F9C7EA8D9EA9804F6C19,C8586955133D0A163671DAB431C1039569B3307AB2C1659CB4845D074A14902361A4E31DCF7825B45E46BABE5FA65DC5B505E0950ABD54651E41459C77D0FE22,DA04FE0EE7B0AE8004C54A2BD45F4380,HTTP/1.1,301,Moved Permanently,text/html,Keep-Alive,,,HTTPD,0,,"Fri, 31 Jul 2020 23:49:15 GMT",Y,Y,N,N,unknown,x509: unknown error,N,,,
8/1/2020 0:13,118.71.67.82,443,ip-address-pool-xxx.fpt.vn,ssl-freak,TLSv1.0,18403,VN,NGHE AN,VINH,TLS_RSA_WITH_RC4_128_SHA,1024,,,5/9/2012 7:55,5/4/2032 7:55,6BE9068844B12C2BDF0AF2D4D6244449E3991E6A,FE676B96C70714F9,md5WithRSAEncryption,rsaEncryption,CIG,,CN,Shanghai,Shanghai,,,,,,,,CIG,,CN,Shanghai,Shanghai,,,,,,,,517311,,Y,TLS_RSA_EXPORT_WITH_RC4_40_MD5,Communications,EF512D0AB19E9B91A5C519C634A4F2FCBBF65C45EF87E01AABD25939FE903594,9FB295B36EAC31D1115CBC34808EE8B3A966FCE307E10DD44CF06A3F24D3266848243637EE7782DC85928B9AB4448B17EC9472E36DA32652324B2300986D8511,608C5D9E3DC8D785257F7FDF627F72E8,HTTP/1.1,200,OK,,,,,,,,,Y,Y,N,N,unknown,x509: unknown error,N,,,
